ear,mar,target
0.18,0.48,1
0.33,0.46,0
0.4,0.4,0
0.36,0.44,0
0.46,0.39,0
0.35,0.41,0
0.35,0.39,0
0.26,0.45,1
0.3,0.46,1
0.19,1.62,1
0.19,0.46,1
0.16,0.56,1
0.32,0.21,0
0.31,0.38,0
0.51,0.33,0
0.18,0.94,1
0.38,0.32,1
0.17,0.58,1
0.17,0.54,1
0.17,0.43,1
0.26,0.45,1
0.21,0.47,1
0.17,0.92,1
0.18,0.39,1
0.2,0.56,1
0.35,0.43,0
0.23,0.4,0
0.15,0.41,1
0.2,0.74,1
0.19,0.5,1
0.29,0.46,1
0.46,0.27,0
0.25,0.48,1
0.16,0.68,1
0.2,0.51,1
0.3,0.45,0
0.19,0.46,0
0.44,0.29,0
0.26,0.49,1
0.3,0.41,0
0.2,0.51,1
0.37,0.26,0
0.32,0.44,0
0.3,0.45,0
0.26,0.42,1
0.16,0.71,1
0.15,0.45,1
0.24,0.47,1
0.19,0.63,1
0.25,0.88,1
0.29,0.79,1
0.19,0.46,1
0.29,0.5,1
0.29,0.98,1
0.37,0.38,0
0.14,0.53,1
0.33,0.45,1
0.32,0.4,0
0.32,0.38,0
0.24,0.56,1
0.19,0.53,1
0.42,0.44,0
0.16,0.71,1
0.29,0.46,0
0.18,0.47,1
0.21,0.56,1
0.28,0.55,1
0.31,0.37,0
0.21,0.53,1
0.29,0.39,0
0.32,0.17,0
0.15,0.47,1
0.38,0.34,0
0.2,0.37,1
0.24,0.47,1
0.29,0.46,1
0.18,0.59,1
0.16,0.48,1
0.34,0.41,0
0.18,0.45,1
0.34,0.32,0
0.36,0.52,0
0.15,0.44,1
0.38,0.43,0
0.16,0.45,1
0.17,0.55,1
0.29,0.45,0
0.31,0.43,1
0.32,0.36,0
0.41,0.29,0
0.22,1.42,1
0.31,0.41,0
0.19,0.47,1
0.37,0.46,1
0.26,0.49,1
0.28,0.45,0
0.22,0.4,1
0.16,0.59,1
0.39,0.51,0
0.21,0.49,1
0.28,0.39,1
0.27,0.45,1
0.42,0.34,0
0.2,0.5,1
0.15,0.64,1
0.25,0.33,0
0.14,0.44,1
0.36,0.39,0
0.21,0.56,1
0.39,0.44,0
0.39,0.33,0
0.18,0.52,1
0.21,0.42,1
0.44,0.48,0
0.18,0.97,1
0.42,0.47,0
0.15,0.45,1
0.35,0.38,0
0.3,0.46,1
0.36,0.43,0
0.36,0.34,0
0.24,0.39,1
0.36,0.34,0
0.45,0.38,0
0.4,0.36,0
0.29,0.49,1
0.36,0.36,0
0.29,0.44,0
0.22,0.38,0
0.26,0.47,1
0.22,0.42,1
0.26,0.66,1
0.17,0.53,1
0.11,0.48,1
0.37,0.41,0
0.34,0.33,0
0.19,0.6,1
0.23,0.55,1
0.17,0.45,1
0.38,0.7,0
0.43,0.26,0
0.37,0.39,0
0.25,0.52,1
0.36,0.42,0
0.19,0.59,1
0.39,0.43,0
0.38,0.39,0
0.34,0.38,0
0.3,0.41,0
0.16,0.45,1
0.52,0.39,0
0.23,0.49,1
0.2,0.46,1
0.23,0.51,1
0.34,0.43,0
0.3,1.12,1
0.25,0.69,1
0.35,0.36,0
0.42,0.46,0
0.36,0.51,0
0.27,0.82,1
0.19,0.45,1
0.3,0.47,0
0.34,0.25,0
0.18,0.79,1
0.2,0.44,1
0.37,0.37,0
0.41,0.34,0
0.32,0.36,0
0.23,0.54,1
0.29,0.58,1
0.33,0.51,0
0.39,0.4,0
0.17,0.44,1
0.33,0.2,0
0.18,0.56,1
0.24,0.49,1
0.23,0.44,1
0.34,0.42,0
0.15,0.48,1
0.3,0.15,0
0.21,0.45,1
0.35,0.41,0
0.27,0.44,1
0.21,0.48,1
0.33,0.42,0
0.21,0.58,1
0.18,0.49,1
0.38,0.4,0
0.22,0.44,1
0.24,0.36,0
0.19,0.49,1
0.29,0.47,0
0.3,0.42,0
0.18,0.49,1
0.39,0.32,0
0.28,0.96,1
0.3,0.4,0
0.16,1.25,1
0.25,0.5,1
0.17,0.61,1
0.32,0.46,0
0.29,0.37,0
0.18,0.47,1
0.19,0.5,1
0.29,0.44,1
0.25,0.4,0
0.38,0.41,0
0.35,0.38,0
0.17,0.82,1
0.28,0.47,1
0.18,0.45,0
0.34,0.44,1
0.32,0.46,1
0.46,0.2,0
0.19,0.44,1
0.38,0.37,0
0.14,0.47,1
0.3,0.62,1
0.28,0.36,0
0.42,0.42,0
0.29,0.43,1
0.23,0.45,1
0.19,0.46,1
0.16,0.39,1
0.11,0.53,1
0.32,0.42,1
0.24,0.41,0
0.41,0.48,0
0.37,0.37,0
0.13,0.55,1
0.3,0.46,0
0.16,0.41,1
0.33,0.44,0
0.46,0.44,0
0.36,0.39,0
0.2,0.58,1
0.41,0.41,0
0.27,0.38,0
0.29,0.47,1
0.48,0.42,0
0.16,0.48,1
0.32,0.43,0
0.43,0.35,0
0.21,0.44,1
0.45,0.14,0
0.14,0.52,1
0.46,0.45,0
0.2,0.44,1
0.19,0.44,1
0.31,0.46,0
0.35,0.4,0
0.38,0.51,0
0.19,0.6,1
0.24,0.47,1
0.3,0.45,1
0.35,0.32,0
0.38,0.4,0
0.12,0.46,1
0.16,0.46,1
0.26,0.37,1
0.17,0.59,1
0.26,0.41,1
0.26,0.59,1
0.22,0.46,1
0.1,0.49,1
0.15,0.46,1
0.19,0.44,1
0.24,0.5,1
0.23,0.37,0
0.3,0.39,0
0.34,0.44,0
0.17,0.59,1
0.38,0.49,0
0.46,0.4,0
0.14,0.44,1
0.24,0.49,1
0.22,0.54,1
0.16,0.61,1
0.34,0.36,0
0.28,0.45,0
0.23,0.53,1
0.33,0.44,1
0.26,0.4,0
0.34,0.39,0
0.43,0.35,0
0.29,0.44,1
0.15,0.49,1
0.36,0.32,0
0.22,0.46,1
0.29,0.47,0
0.21,0.45,1
0.33,0.4,0
0.32,0.5,0
0.18,0.41,1
0.19,0.48,1
0.21,0.54,1
0.35,0.42,0
0.24,0.47,1
0.31,0.46,0
0.25,0.39,1
0.33,0.42,1
0.48,0.34,0
0.31,0.39,0
0.18,0.78,1
0.27,0.4,0
0.34,0.41,0
0.24,0.43,1
0.43,0.4,0
0.22,0.47,1
0.38,0.3,0
0.17,0.92,1
0.5,0.37,0
0.24,0.63,1
0.27,0.5,1
0.27,0.47,1
0.2,0.5,1
0.26,0.38,0
0.17,0.45,1
0.41,0.47,0
0.33,0.4,0
0.36,0.36,0
0.33,0.43,0
0.18,0.55,1
0.2,0.69,1
0.3,0.45,0
0.53,0.42,0
0.28,1.32,1
0.19,0.53,1
0.36,0.38,0
0.29,1.4,1
0.22,0.44,1
0.27,0.46,0
0.31,0.28,0
0.49,0.34,0
0.24,0.32,0
0.23,0.46,1
0.2,0.51,1
0.19,0.53,1
0.31,0.94,1
0.13,0.53,1
0.33,0.47,1
0.17,0.4,1
0.18,0.42,1
0.18,0.44,1
0.29,0.41,0
0.29,0.36,0
0.26,0.82,1
0.21,0.45,1
0.31,0.32,0
0.24,0.48,1
0.2,0.47,1
0.26,0.38,1
0.19,0.6,1
0.23,0.47,1
0.31,0.45,0
0.13,0.6,1
0.3,0.44,0
0.19,0.55,1
0.26,0.51,1
0.21,1.0,1
0.2,0.6,1
0.31,0.43,1
0.18,0.95,1
0.25,0.5,1
0.3,0.4,1
0.5,0.36,0
0.28,0.98,1
0.16,0.46,1
0.3,0.46,0
0.12,0.6,1
0.33,0.43,1
0.25,0.52,1
0.3,0.43,0
0.29,0.49,1
0.36,0.5,0
0.33,0.43,0
0.27,0.46,1
0.25,0.72,1
0.22,0.42,1
0.36,0.51,0
0.14,0.44,1
0.24,0.54,1
0.19,0.43,1
0.18,0.5,1
0.27,0.44,1
0.28,1.01,1
0.28,0.41,0
0.36,0.31,0
0.16,0.6,1
0.2,0.46,1
0.44,0.44,0
0.4,0.39,0
0.21,0.47,1
0.28,0.43,1
0.19,0.47,1
0.2,0.5,1
0.14,0.46,1
0.13,0.38,1
0.33,0.4,0
0.12,0.96,1
0.18,0.29,1
0.2,0.48,1
0.3,0.47,0
0.25,0.44,1
0.29,0.36,0
0.36,0.36,0
0.21,0.47,1
0.19,0.63,1
0.39,0.41,0
0.35,0.49,0
0.29,0.44,0
0.47,0.44,0
0.13,0.55,1
0.34,0.4,0
0.34,0.41,0
0.33,0.42,0
0.36,0.51,0
0.12,0.54,1
0.27,1.01,1
0.37,0.52,0
0.29,0.42,1
0.24,0.58,1
0.21,0.48,1
0.21,0.41,0
0.19,0.47,1
0.24,0.46,1
0.37,0.46,0
0.3,0.33,0
0.17,0.65,1
0.29,0.38,0
0.15,0.45,1
0.36,0.43,0
0.3,0.45,0
0.44,0.41,0
0.12,0.38,1
0.26,0.52,1
0.44,0.5,0
0.42,0.55,0
0.13,0.6,1
0.46,0.4,0
0.2,0.44,1
0.22,0.53,1
0.15,0.44,1
0.37,0.27,0
0.38,0.4,0
0.38,0.39,0
0.26,0.32,0
0.13,0.57,1
0.36,0.37,0
0.31,0.38,0
0.18,1.04,1
0.22,0.43,1
0.29,0.46,1
0.35,0.38,0
0.34,0.89,1
0.2,0.77,1
0.11,0.45,1
0.38,0.34,0
0.23,0.42,1
0.32,0.45,0
0.37,0.42,0
0.14,0.81,1
0.15,0.47,1
0.19,0.46,1
0.39,0.42,0
0.28,0.51,1
0.29,0.38,0
0.4,0.24,0
0.4,0.43,0
0.43,0.46,0
0.29,0.46,0
0.42,0.59,0
0.22,0.38,0
0.33,0.43,0
0.16,0.45,1
0.21,0.56,1
0.23,0.57,1
0.17,0.45,1
0.34,0.39,0
0.33,0.48,0
0.4,0.48,0
0.19,0.52,1
0.21,0.49,1
0.32,0.35,0
0.33,0.32,0
0.26,0.42,1
0.5,0.4,0
0.34,0.28,0
0.28,0.45,1
0.27,0.51,1
0.18,0.45,1
0.37,0.44,0
0.16,0.39,1
0.35,0.43,0
0.39,0.33,0
0.37,0.38,0
0.43,0.45,0
0.3,0.44,1
0.16,0.48,1
0.27,0.41,0
0.37,0.4,0
0.25,0.44,0
0.17,0.47,1
0.13,0.45,1
0.33,0.39,0
0.31,0.44,0
0.19,0.46,1
0.34,0.34,0
0.31,0.33,1
0.34,0.39,0
0.21,0.37,0
0.19,0.44,1
0.23,1.05,1
0.28,0.2,0
0.26,0.49,1
0.22,0.45,1
0.15,0.62,1
0.22,0.44,0
0.4,0.41,0
0.2,0.56,1
0.29,0.46,0
0.41,0.45,0
0.34,0.35,0
0.23,0.44,1
0.24,0.3,1
0.22,0.45,1
0.42,0.37,0
0.17,0.44,1
0.21,0.5,1
0.34,0.58,1
0.17,0.47,1
0.2,0.45,1
0.31,0.43,0
0.34,0.26,1
0.2,0.51,1
0.35,0.4,0
0.37,0.43,0
0.33,0.42,0
0.21,0.44,1
0.21,0.45,1
0.29,0.46,0
0.14,0.44,1
0.12,0.89,1
0.23,0.54,1
0.37,0.41,0
0.2,0.46,1
0.17,0.45,1
0.42,0.55,0
0.21,0.55,1
0.18,0.51,1
0.19,0.48,1
0.19,0.73,1
0.23,0.48,1
0.17,0.48,1
0.21,0.44,0
0.2,0.36,0
0.27,0.4,0
0.16,0.46,1
0.3,0.36,0
0.22,0.41,1
0.27,0.53,1
0.3,0.43,0
0.35,0.41,0
0.45,0.46,0
0.27,0.37,0
0.33,0.37,0
0.19,0.56,1
0.36,0.43,0
0.18,0.47,1
0.28,0.46,0
0.21,0.32,0
0.26,0.6,1
0.39,0.43,0
0.21,0.48,1
0.34,0.41,0
0.34,0.45,0
0.31,0.41,0
0.29,0.42,0
0.2,0.55,1
0.18,0.53,1
0.32,0.43,0
0.34,0.44,0
0.34,0.22,1
0.4,0.32,0
0.12,0.91,1
0.14,0.69,1
0.21,0.54,1
0.32,0.44,0
0.21,0.93,1
0.19,0.44,1
0.19,0.61,1
0.19,0.54,1
0.26,0.49,0
0.16,0.54,1
0.29,0.48,1
0.2,0.51,1
0.26,0.5,1
0.32,0.31,0
0.19,0.8,1
0.1,0.43,1
0.14,0.49,1
0.37,0.45,0
0.47,0.53,0
0.1,0.42,1
0.42,0.42,0
0.27,0.46,0
0.23,0.58,1
0.56,0.38,0
0.23,1.57,1
0.31,0.4,0
0.23,0.41,0
0.34,0.44,1
0.28,0.51,1
0.18,0.51,1
0.24,0.53,1
0.22,0.44,1
0.3,0.49,1
0.18,0.41,1
0.28,0.4,0
0.29,0.46,0
0.22,0.44,1
0.24,0.49,1
0.19,0.47,1
0.28,0.25,1
0.33,0.42,0
0.32,0.43,0
0.45,0.27,0
0.18,0.58,1
0.37,0.4,0
0.18,1.49,1
0.41,0.37,0
0.35,0.37,1
0.41,0.25,0
0.47,0.42,0
0.33,0.4,0
0.21,0.44,1
0.23,0.52,1
0.48,0.47,0
0.41,0.36,0
0.29,0.48,0
0.25,1.33,1
0.27,0.41,0
0.26,0.49,1
0.21,0.61,1
0.38,0.44,0
0.21,0.94,1
0.26,0.44,1
0.18,0.93,1
0.34,0.39,0
0.31,0.43,0
0.4,0.41,0
0.21,0.51,1
0.36,0.52,0
0.31,0.16,0
0.35,0.38,0
0.33,0.44,0
0.11,0.57,1
0.34,0.43,0
0.09,0.6,1
0.26,1.43,1
0.2,0.43,1
0.21,0.53,1
0.22,0.49,1
0.24,0.34,0
0.24,0.28,1
0.17,0.43,1
0.17,0.45,1
0.23,0.81,1
0.21,0.33,1
0.22,0.44,1
0.44,0.47,0
0.18,0.47,1
0.22,0.53,1
0.32,0.47,1
0.38,0.52,1
0.21,0.81,1
0.28,0.34,0
0.19,0.44,1
0.15,0.7,1
0.52,0.39,0
0.27,0.61,1
0.2,0.44,0
0.31,0.48,1
0.27,0.47,1
0.28,0.26,0
0.19,0.39,1
0.15,0.45,1
0.24,0.51,1
0.3,0.33,0
0.23,0.44,1
0.23,0.47,0
0.29,0.4,0
0.3,0.44,1
0.46,0.25,0
0.28,0.51,1
0.35,0.38,0
0.15,0.42,1
0.32,0.32,0
0.32,0.42,0
0.36,0.44,0
0.12,0.75,1
0.25,0.51,1
0.17,1.34,1
0.3,0.39,0
0.1,0.48,1
0.32,0.45,0
0.18,0.55,1
0.32,0.42,1
0.34,0.38,0
0.26,0.33,0
0.22,0.43,1
0.18,0.74,1
0.37,0.44,0
0.29,0.52,1
0.34,0.44,0
0.25,0.44,1
0.18,0.51,1
0.35,0.38,0
0.37,0.35,0
0.36,0.34,0
0.36,0.38,0
0.37,0.5,0
0.19,0.53,1
0.29,0.51,1
0.27,0.46,0
0.23,0.5,1
0.21,0.46,1
0.23,0.46,1
0.45,0.29,0
0.29,0.55,1
0.16,0.49,1
0.35,0.39,0
0.15,0.46,1
0.43,0.53,0
0.42,0.35,0
0.27,0.27,0
0.16,0.51,1
0.22,0.63,1
0.16,0.45,1
0.26,0.91,1
0.36,0.44,0
0.16,0.43,1
0.32,0.39,0
0.37,0.41,0
0.31,0.44,0
0.23,0.51,1
0.34,0.4,0
0.29,0.31,0
0.37,0.38,0
0.37,0.52,0
0.27,0.44,1
0.37,0.52,0
0.31,0.46,1
0.23,0.28,1
0.31,0.45,0
0.3,0.45,0
0.3,0.45,1
0.34,0.32,0
0.31,0.49,0
0.18,0.71,1
0.11,0.46,1
0.25,0.45,1
0.25,1.19,1
0.33,0.45,0
0.31,0.42,1
0.32,0.43,1
0.22,0.39,0
0.27,0.41,0
0.24,0.57,1
0.17,0.37,1
0.4,0.29,0
0.38,0.33,0
0.42,0.39,0
0.21,0.58,1
0.26,0.68,1
0.29,0.43,1
0.2,0.51,1
0.22,0.41,0
0.35,0.42,0
0.26,0.53,1
0.22,0.63,1
0.28,0.51,1
0.13,0.41,1
0.36,0.27,0
0.19,0.5,1
0.22,1.27,1
0.42,0.46,0
0.13,0.76,1
0.18,0.81,1
0.18,0.48,1
0.21,1.16,1
0.32,0.45,0
0.14,0.79,1
0.19,0.61,1
0.29,0.46,1
0.21,0.45,1
0.28,0.46,0
0.25,0.55,1
0.2,0.54,1
0.32,0.45,1
0.15,0.44,1
0.45,0.42,0
0.24,0.53,1
0.16,0.86,1
0.16,0.59,1
0.38,0.41,0
0.43,0.3,0
0.39,0.29,0
0.16,1.06,1
0.18,0.48,1
0.2,0.55,1
0.21,0.51,1
0.3,0.47,1
0.3,0.51,1
0.28,0.4,1
0.23,0.54,1
0.14,0.62,1
0.35,0.36,0
0.25,0.37,0
0.38,0.4,0
0.14,0.47,1
0.27,0.49,1
0.25,0.49,1
0.26,0.43,0
0.32,0.44,0
0.28,0.46,1
0.18,0.45,1
0.2,0.69,1
0.18,0.49,1
0.42,0.46,0
0.23,0.47,1
0.31,0.42,1
0.2,0.82,1
0.13,0.73,1
0.19,0.4,1
0.11,0.67,1
0.34,0.25,0
0.23,0.48,1
0.27,0.35,0
0.26,0.7,1
0.33,0.41,0
0.15,0.57,1
0.33,0.41,0
0.1,0.47,1
0.12,0.59,1
0.24,0.47,1
0.2,0.45,1
0.44,0.51,0
0.21,0.47,1
0.34,0.36,0
0.49,0.46,0
0.21,0.56,1
0.34,0.42,0
0.27,0.65,1
0.21,0.43,1
0.3,0.46,1
0.21,0.42,1
0.23,0.45,1
0.29,0.38,0
0.4,0.34,0
0.2,0.47,1
0.31,0.47,0
0.32,0.39,0
0.16,0.5,1
0.23,0.51,1
0.37,0.37,0
0.17,0.55,1
0.25,0.42,1
0.22,0.5,1
0.32,0.45,0
0.21,0.56,1
0.34,0.27,0
0.22,0.46,0
0.37,0.39,0
0.19,0.46,1
0.23,0.72,1
0.29,0.31,0
0.36,0.52,0
0.28,0.38,1
0.21,0.45,1
0.2,1.62,1
0.23,0.32,0
0.25,0.56,1
0.34,0.39,0
0.26,0.49,1
0.32,0.56,1
0.28,0.49,1
0.27,0.42,0
0.4,0.35,0
0.34,0.26,0
0.3,0.47,1
0.31,0.43,0
0.27,0.44,1
0.2,0.78,1
0.23,0.45,1
0.36,0.4,0
0.2,0.44,0
0.22,0.48,1
0.23,0.49,1
0.26,0.41,1
0.16,0.47,1
0.26,0.44,1
0.16,0.44,1
0.2,0.43,1
0.45,0.48,0
0.12,0.43,1
0.16,0.48,1
0.14,0.52,1
0.19,0.41,1
0.14,0.56,1
0.3,0.39,0
0.47,0.4,0
0.32,0.47,0
0.11,0.64,1
0.21,0.48,1
0.33,0.28,0
0.22,0.5,1
0.17,0.45,1
0.16,0.63,1
0.44,0.44,0
0.11,0.5,1
0.39,0.51,0
0.44,0.38,0
0.38,0.43,0
0.19,0.41,1
0.27,0.43,1
0.21,0.44,0
0.33,0.42,0
0.23,0.57,1
0.17,0.45,1
0.36,0.39,0
0.35,0.52,0
0.33,0.38,0
0.12,0.47,1
0.19,1.01,1
0.34,0.43,0
0.5,0.37,0
0.23,0.31,1
0.21,0.48,1
0.24,0.37,0
0.21,0.44,1
0.19,0.51,1
0.22,0.49,1
0.33,0.41,0
0.36,0.51,0
0.28,0.46,0
0.32,0.45,0
0.29,0.79,1
0.21,0.44,1
0.15,0.46,1
0.21,1.1,1
0.25,0.4,1
0.36,0.34,0
0.47,0.26,0
0.16,0.44,1
0.38,0.4,0
0.12,0.51,1
0.27,0.45,0
0.21,0.51,1
0.19,0.41,1
0.31,0.42,0
0.43,0.32,0
0.26,0.51,1
0.18,0.56,1
0.08,0.77,1
0.18,0.52,1
0.31,0.48,1
0.19,0.5,1
0.43,0.15,0
0.21,0.52,1
0.14,0.69,1
0.26,0.39,0
0.29,0.45,1
0.25,0.43,0
0.16,0.54,1
0.19,0.45,0
0.2,0.41,1
0.34,0.23,0
0.3,0.4,0
0.13,0.47,1
0.29,0.46,0
0.44,0.34,0
0.39,0.43,0
0.13,0.59,1
0.24,0.47,1
0.37,0.38,0
0.24,0.61,1
0.27,0.46,0
0.26,0.45,1
0.36,0.36,0
0.33,0.4,0
0.18,0.45,1
0.16,0.44,1
0.32,0.42,0
0.26,0.5,1
0.32,0.37,1
0.14,0.46,1
0.33,0.42,0
0.44,0.33,0
0.36,0.42,0
0.24,0.52,1
0.26,0.44,1
0.19,1.4,1
0.22,0.43,1
0.25,0.34,0
0.34,0.25,0
0.2,1.19,1
0.34,0.38,0
0.16,0.51,1
0.35,0.44,1
0.32,0.42,0
0.29,0.48,0
0.22,0.76,1
0.35,0.45,1
0.47,0.4,0
0.36,0.44,0
0.39,0.43,0
0.34,0.39,0
0.24,0.46,1
0.36,0.38,0
0.13,0.47,1
0.12,0.71,1
0.37,0.51,0
0.29,0.45,0
0.14,0.5,1
0.29,0.45,0
0.37,0.31,0
0.3,0.48,1
0.19,0.47,1
0.37,0.28,0
0.29,0.37,0
0.2,0.46,1
0.2,0.46,1
0.32,0.38,0
0.48,0.41,0
0.4,0.35,0
0.34,0.44,0
0.21,0.46,1
0.27,0.51,1
0.26,0.42,0
0.21,0.7,1
0.23,0.48,1
0.31,0.46,0
0.26,0.52,1
0.22,0.26,1
0.33,0.42,0
0.26,0.44,1
0.22,0.43,1
0.33,0.4,0
0.28,0.41,0
0.2,0.5,1
0.12,0.55,1
0.43,0.42,0
0.14,0.62,1
0.39,0.48,1
0.37,0.41,0
0.27,1.15,1
0.27,0.33,0
0.36,0.37,0
0.37,0.51,0
0.29,0.59,1
0.37,0.32,0
0.16,0.68,1
0.22,0.42,1
0.2,0.47,1
0.53,0.34,0
0.3,0.27,1
0.32,0.33,0
0.26,0.54,1
0.22,1.03,1
0.14,0.46,1
0.25,0.41,1
0.37,0.33,1
0.25,0.48,1
0.22,0.52,1
0.18,0.59,1
0.56,0.29,0
0.22,0.49,0
0.36,0.4,0
0.24,0.49,1
0.21,0.58,1
0.18,0.45,1
0.36,0.51,0
0.36,0.33,0
0.38,0.36,0
0.28,0.45,0
0.24,0.54,1
0.36,0.39,0
0.39,0.38,0
0.19,0.25,1
0.21,0.45,1
0.15,0.42,1
0.28,0.4,0
0.34,0.35,0
0.19,0.41,1
0.42,0.44,0
0.31,0.49,0
0.4,0.11,0
0.23,0.4,0
0.22,0.61,1
0.14,0.61,1
0.35,0.44,1
0.22,0.46,1
0.18,0.52,1
0.17,0.41,1
0.12,0.45,1
0.35,0.44,0
0.22,0.44,1
0.38,0.41,0
0.46,0.33,0
0.17,0.57,1
0.19,0.45,1
0.37,0.39,0
0.31,0.41,1
0.22,0.48,1
0.25,1.3,1
0.19,0.49,1
0.29,0.47,0
0.33,0.43,0
0.21,0.46,1
0.19,0.45,1
0.24,0.46,1
